occupation,[03]ER21145 [05]ER25127 [07]ER36132 [09]ER42167 [11]ER47479 [13]ER53179 [15]ER60194
occupation,[68]V243_A [69]V609_A [70]V1367_A [71]V2074_A [72]V2672_A [73]V3183_A [74]V3601_A [75]V4055_A [76]V4605_A [77]V5507_A [78]V6039_A [79]V6596_A [80]V7198_A
occupation,[81]V7885 [82]V8544 [83]V9194 [84]V10678 [85]V12014 [86]V13233 [87]V14329 [88]V15464 [89]V16982 [90]V18403 [91]V19703 [92]V21003 [93]V22809 [94]ER4048 [95]ER6888 [96]ER9139 [97]ER12116 [99]ER13727 [01]ER17796
occupation,[03]ER21395 [05]ER25385 [07]ER36390 [09]ER42419 [11]ER47736 [13]ER53442 [15]ER60457
gov_employed,[75]V3971 [76]V4462 [77]V5377 [78]V5876 [79]V6494 [80]V7097 [81]V7708 [82]V8376 [83]V9007 [84]V10457 [85]V11648 [86]V13051 [87]V14151 [88]V15159 [89]V16660 [90]V18098 [91]V19398 [92]V20698 [93]V22453 [94]ER2078 [95]ER5077 [96]ER7173 [97]ER10088 [99]ER13212 [01]ER17223
gov_employed,[76]V4845 [79]V6593 [80]V7195 [81]V7881 [82]V8540 [83]V9190 [84]V10675 [85]V12011 [86]V13230 [87]V14326 [88]V15461 [89]V16979 [90]V18400 [91]V19700 [92]V21000 [93]V22806 [94]ER2572 [95]ER5571 [96]ER7667 [97]ER10570 [99]ER13724 [01]ER17793
self_employed,[68]V198 [69]V641 [70]V1280 [71]V1986 [72]V2584 [73]V3117 [74]V3532 [75]V3970 [76]V4461 [77]V5376 [78]V5875 [79]V6493 [80]V7096 [81]V7707 [82]V8375 [83]V9006 [84]V10456 [85]V11640 [86]V13049 [87]V14149 [88]V15157 [89]V16658 [90]V18096 [91]V19396 [92]V20696 [93]V22451 [94]ER2074 [95]ER5073 [96]ER7169 [97]ER10086 [99]ER13210 [01]ER17221
self_employed,[03]ER21147 [05]ER25129 [07]ER36134 [09]ER42169 [11]ER47482 [13]ER53182 [15]ER60197
self_employed,[76]V4844 [79]V6592 [80]V7194 [81]V7880 [82]V8539 [83]V9189 [84]V10674 [85]V12003 [86]V13228 [87]V14324 [88]V15459 [89]V16977 [90]V18398 [91]V19698 [92]V20998 [93]V22804 [94]ER2568 [95]ER5567 [96]ER7663 [97]ER10568 [99]ER13722 [01]ER17791
self_employed,[03]ER21397 [05]ER25387 [07]ER36392 [09]ER42421 [11]ER47739 [13]ER53445 [15]ER60460
industry,[68]V197_B [69]V640_B [70]V1279_B [71]V1985_A [72]V2583_A [73]V3116_A [74]V3531_A [75]V3969_A [76]V4460_A [77]V5375_A [78]V5874_A [79]V6498_A [80]V7101_A
industry,[68]V243_B [69]V609_B [70]V1367_B [71]V2075_A [72]V2673_A [73]V3184_A [74]V3602_A [75]V4056_A [76]V4606_A [77]V5508_A [78]V6040_A [79]V6597_A [80]V7199_A
industry,[81]V7713 [82]V8381 [83]V9012 [84]V10461 [85]V11652 [86]V13055 [87]V14155 [88]V15163 [89]V16664 [90]V18102 [91]V19402 [92]V20702 [93]V22457 [94]ER4018 [95]ER6858 [96]ER9109 [97]ER12086 [99]ER13216 [01]ER17227
industry,[81]V7886 [82]V8545 [83]V9195 [84]V10679 [85]V12015 [86]V13234 [87]V14330 [88]V15465 [89]V16983 [90]V18404 [91]V19704 [92]V21004 [93]V22810 [94]ER4049 [95]ER6889 [96]ER9140 [97]ER12117 [99]ER13728 [01]ER17797
industry,[03]ER21146 [05]ER25128 [07]ER36133 [09]ER42168 [11]ER47480 [13]ER53180 [15]ER60195
industry,[03]ER21396 [05]ER25386 [07]ER36391 [09]ER42420 [11]ER47737 [13]ER53443 [15]ER60458
edu,[68]ER30010 [70]ER30052 [71]ER30076 [72]ER30100 [73]ER30126 [74]ER30147 [75]ER30169 [76]ER30197 [77]ER30226 [78]ER30255 [79]ER30296 [80]ER30326 [81]ER30356 [82]ER30384 [83]ER30413 [84]ER30443 [85]ER30478 [86]ER30513 [87]ER30549 [88]ER30584 [89]ER30620 [90]ER30657 [91]ER30703 [92]ER30748 [93]ER30820 [94]ER33115 [95]ER33215 [96]ER33315 [97]ER33415 [99]ER33516 [01]ER33616 [03]ER33716 [05]ER33817 [07]ER33917 [09]ER34020 [11]ER34119 [13]ER34230 [15]ER34349 [17]ER34548 [19]ER34752 [21]ER34952
age,[68]ER30004 [69]ER30023 [70]ER30046 [71]ER30070 [72]ER30094 [73]ER30120 [74]ER30141 [75]ER30163 [76]ER30191 [77]ER30220 [78]ER30249 [79]ER30286 [80]ER30316 [81]ER30346 [82]ER30376 [83]ER30402 [84]ER30432 [85]ER30466 [86]ER30501 [87]ER30538 [88]ER30573 [89]ER30609 [90]ER30645 [91]ER30692 [92]ER30736 [93]ER30809 [94]ER33104 [95]ER33204 [96]ER33304 [97]ER33404 [99]ER33504 [01]ER33604 [03]ER33704 [05]ER33804 [07]ER33904 [09]ER34004 [11]ER34104 [13]ER34204 [15]ER34305 [17]ER34504 [19]ER34704 [21]ER34904
marital_status,[68]ER32049
marital_pair,[68]ER30005 [69]ER30024 [70]ER30047 [71]ER30071 [72]ER30095 [73]ER30121 [74]ER30142 [75]ER30164 [76]ER30192 [77]ER30221 [78]ER30250 [79]ER30287 [80]ER30317 [81]ER30347 [82]ER30377 [83]ER30405 [84]ER30435 [85]ER30469 [86]ER30504 [87]ER30541 [88]ER30576 [89]ER30612 [90]ER30648 [91]ER30695 [92]ER30739 [93]ER30812 [94]ER33107 [95]ER33207 [96]ER33307 [97]ER33407 [99]ER33507 [01]ER33607 [03]ER33707 [05]ER33807 [07]ER33907 [09]ER34007 [11]ER34107 [13]ER34207 [15]ER34308 [17]ER34507 [19]ER34707 [21]ER34907
housework,[69]ER30029 [70]ER30053 [71]ER30077 [72]ER30102 [73]ER30127 [74]ER30148 [76]ER30198 [77]ER30227 [78]ER30256 [79]ER30291 [80]ER30321 [81]ER30351 [83]ER30409 [84]ER30439 [85]ER30473 [86]ER30508
sex,[68]ER32000
race,[68]V181 [69]V801 [70]V1490 [71]V2202 [72]V2828 [73]V3300 [74]V3720 [75]V4204 [76]V5096 [77]V5662 [78]V6209 [79]V6802 [80]V7447 [81]V8099 [82]V8723 [83]V9408 [84]V11055 [85]V11938 [86]V13565 [87]V14612 [88]V16086 [89]V17483 [90]V18814 [91]V20114 [92]V21420 [93]V23276 [94]ER3944 [95]ER6814 [96]ER9060 [97]ER11848 [99]ER15928 [01]ER19989 [03]ER23426 [05]ER27393 [07]ER40565 [09]ER46543 [11]ER51904 [13]ER57659 [15]ER64810 [17]ER70882 [19]ER76897 [21]ER81144
relationship,[68]ER30003 [69]ER30022 [70]ER30045 [71]ER30069 [72]ER30093 [73]ER30119 [74]ER30140 [75]ER30162 [76]ER30190 [77]ER30219 [78]ER30248 [79]ER30285 [80]ER30315 [81]ER30345 [82]ER30375 [83]ER30401 [84]ER30431 [85]ER30465 [86]ER30500 [87]ER30537 [88]ER30572 [89]ER30608 [90]ER30644 [91]ER30691 [92]ER30735 [93]ER30808 [94]ER33103 [95]ER33203 [96]ER33303 [97]ER33403 [99]ER33503 [01]ER33603 [03]ER33703 [05]ER33803 [07]ER33903 [09]ER34003 [11]ER34103 [13]ER34203 [15]ER34303 [17]ER34503 [19]ER34703 [21]ER34903
wife_in_fu,[75]V4101 [77]V5505 [78]V6037 [79]V6590 [80]V7192 [81]V7878 [82]V8537 [83]V9187 [84]V10670 [85]V11999 [86]V13224 [87]V14320 [88]V15455 [89]V16973 [90]V18394 [91]V19694 [92]V20994 [93]V22800 [94]ER2561A [95]ER5560A [96]ER7656A [97]ER10562A [99]ER13716 [01]ER17785 [03]ER21372 [05]ER25361 [07]ER36366 [09]ER42391 [11]ER47704 [13]ER53410 [15]ER60425 [17]ER66438 [19]ER72440 [21]ER78479
